order_id,warehouse,product,order_date,ship_date
1,W1,Laptop,2024-01-01,2024-01-04
2,W2,Phone,2024-01-01,2024-01-03
3,W3,Tablet,2024-01-01,2024-01-05
4,W1,Monitor,2024-01-02,2024-01-06
5,W2,Keyboard,2024-01-02,2024-01-04
6,W3,Mouse,2024-01-02,2024-01-03
7,W1,Laptop,2024-01-03,2024-01-07
8,W2,Phone,2024-01-03,2024-01-05
9,W3,Tablet,2024-01-03,2024-01-08
10,W1,Monitor,2024-01-04,2024-01-06
11,W2,Keyboard,2024-01-04,2024-01-07
12,W3,Mouse,2024-01-04,2024-01-05
13,W1,Laptop,2024-01-05,2024-01-09
14,W2,Phone,2024-01-05,2024-01-06
15,W3,Tablet,2024-01-05,2024-01-10
16,W1,Monitor,2024-01-06,2024-01-08
17,W2,Keyboard,2024-01-06,2024-01-09
18,W3,Mouse,2024-01-06,2024-01-07
19,W1,Laptop,2024-01-07,2024-01-10
20,W2,Phone,2024-01-07,2024-01-09
21,W3,Tablet,2024-01-07,2024-01-11
22,W1,Monitor,2024-01-08,2024-01-10
23,W2,Keyboard,2024-01-08,2024-01-12
24,W3,Mouse,2024-01-08,2024-01-09
25,W1,Laptop,2024-01-09,2024-01-13
26,W2,Phone,2024-01-09,2024-01-11
27,W3,Tablet,2024-01-09,2024-01-14
28,W1,Monitor,2024-01-10,2024-01-12
29,W2,Keyboard,2024-01-10,2024-01-13
30,W3,Mouse,2024-01-10,2024-01-11
31,W1,Laptop,2024-01-11,2024-01-15
32,W2,Phone,2024-01-11,2024-01-13
33,W3,Tablet,2024-01-11,2024-01-16
34,W1,Monitor,2024-01-12,2024-01-14
35,W2,Keyboard,2024-01-12,2024-01-16
36,W3,Mouse,2024-01-12,2024-01-13
37,W1,Laptop,2024-01-13,2024-01-17
38,W2,Phone,2024-01-13,2024-01-14
39,W3,Tablet,2024-01-13,2024-01-18
40,W1,Monitor,2024-01-14,2024-01-16
41,W2,Keyboard,2024-01-14,2024-01-17
42,W3,Mouse,2024-01-14,2024-01-15
43,W1,Laptop,2024-01-15,2024-01-19
44,W2,Phone,2024-01-15,2024-01-16
45,W3,Tablet,2024-01-15,2024-01-20
46,W1,Monitor,2024-01-16,2024-01-18
47,W2,Keyboard,2024-01-16,2024-01-19
48,W3,Mouse,2024-01-16,2024-01-17
49,W1,Laptop,2024-01-17,2024-01-21
50,W2,Phone,2024-01-17,2024-01-19
51,W3,Tablet,2024-01-17,2024-01-22
52,W1,Monitor,2024-01-18,2024-01-20
53,W2,Keyboard,2024-01-18,2024-01-21
54,W3,Mouse,2024-01-18,2024-01-19
55,W1,Laptop,2024-01-19,2024-01-23
56,W2,Phone,2024-01-19,2024-01-20
57,W3,Tablet,2024-01-19,2024-01-24
58,W1,Monitor,2024-01-20,2024-01-22
59,W2,Keyboard,2024-01-20,2024-01-23
60,W3,Mouse,2024-01-20,2024-01-21
61,W1,Laptop,2024-01-21,2024-01-24
62,W2,Phone,2024-01-21,2024-01-23
63,W3,Tablet,2024-01-21,2024-01-26
64,W1,Monitor,2024-01-22,2024-01-24
65,W2,Keyboard,2024-01-22,2024-01-25
66,W3,Mouse,2024-01-22,2024-01-23
67,W1,Laptop,2024-01-23,2024-01-27
68,W2,Phone,2024-01-23,2024-01-24
69,W3,Tablet,2024-01-23,2024-01-28
70,W1,Monitor,2024-01-24,2024-01-26
71,W2,Keyboard,2024-01-24,2024-01-27
72,W3,Mouse,2024-01-24,2024-01-25
73,W1,Laptop,2024-01-25,2024-01-29
74,W2,Phone,2024-01-25,2024-01-26
75,W3,Tablet,2024-01-25,2024-01-30
76,W1,Monitor,2024-01-26,2024-01-28
77,W2,Keyboard,2024-01-26,2024-01-29
78,W3,Mouse,2024-01-26,2024-01-27
79,W1,Laptop,2024-01-27,2024-01-31
80,W2,Phone,2024-01-27,2024-01-29
81,W3,Tablet,2024-01-27,2024-02-01
82,W1,Monitor,2024-01-28,2024-01-30
83,W2,Keyboard,2024-01-28,2024-01-31
84,W3,Mouse,2024-01-28,2024-01-29
85,W1,Laptop,2024-01-29,2024-02-02
86,W2,Phone,2024-01-29,2024-01-30
87,W3,Tablet,2024-01-29,2024-02-03
88,W1,Monitor,2024-01-30,2024-02-01
89,W2,Keyboard,2024-01-30,2024-02-02
90,W3,Mouse,2024-01-30,2024-01-31
91,W1,Laptop,2024-01-31,2024-02-04
92,W2,Phone,2024-01-31,2024-02-02
93,W3,Tablet,2024-01-31,2024-02-05
94,W1,Monitor,2024-02-01,2024-02-03
95,W2,Keyboard,2024-02-01,2024-02-04
96,W3,Mouse,2024-02-01,2024-02-02
97,W1,Laptop,2024-02-02,2024-02-06
98,W2,Phone,2024-02-02,2024-02-03
99,W3,Tablet,2024-02-02,2024-02-07
100,W1,Monitor,2024-02-03,2024-02-05
101,W2,Keyboard,2024-02-03,2024-02-06
102,W3,Mouse,2024-02-03,2024-02-04
103,W1,Laptop,2024-02-04,2024-02-08
104,W2,Phone,2024-02-04,2024-02-06
105,W3,Tablet,2024-02-04,2024-02-09
106,W1,Monitor,2024-02-05,2024-02-07
107,W2,Keyboard,2024-02-05,2024-02-08
108,W3,Mouse,2024-02-05,2024-02-06
109,W1,Laptop,2024-02-06,2024-02-10
110,W2,Phone,2024-02-06,2024-02-07
111,W3,Tablet,2024-02-06,2024-02-11
112,W1,Monitor,2024-02-07,2024-02-09
113,W2,Keyboard,2024-02-07,2024-02-10
114,W3,Mouse,2024-02-07,2024-02-08
115,W1,Laptop,2024-02-08,2024-02-12
116,W2,Phone,2024-02-08,2024-02-09
117,W3,Tablet,2024-02-08,2024-02-13
118,W1,Monitor,2024-02-09,2024-02-11
119,W2,Keyboard,2024-02-09,2024-02-12
120,W3,Mouse,2024-02-09,2024-02-10
121,W4,Headphones,2024-02-10,2024-02-13
122,W5,Printer,2024-02-10,2024-02-15
123,W6,Router,2024-02-10,2024-02-12
124,W4,Headphones,2024-02-11,2024-02-14
125,W5,Printer,2024-02-11,2024-02-16
126,W6,Router,2024-02-11,2024-02-13
127,W4,Speaker,2024-02-12,2024-02-15
128,W5,Camera,2024-02-12,2024-02-17
129,W6,Router,2024-02-12,2024-02-14
130,W4,Speaker,2024-02-13,2024-02-17
131,W5,Camera,2024-02-13,2024-02-18
132,W6,Router,2024-02-13,2024-02-15
133,W4,Headphones,2024-02-14,2024-02-18
134,W5,Printer,2024-02-14,2024-02-19
135,W6,Router,2024-02-14,2024-02-16
136,W4,Speaker,2024-02-15,2024-02-19
137,W5,Camera,2024-02-15,2024-02-20
138,W6,Router,2024-02-15,2024-02-17
139,W4,Headphones,2024-02-16,2024-02-20
140,W5,Printer,2024-02-16,2024-02-21
141,W6,Router,2024-02-16,2024-02-18
142,W4,Speaker,2024-02-17,2024-02-21
143,W5,Camera,2024-02-17,2024-02-22
144,W6,Router,2024-02-17,2024-02-19
145,W4,Headphones,2024-02-18,2024-02-22
146,W5,Printer,2024-02-18,2024-02-23
147,W6,Router,2024-02-18,2024-02-20
148,W4,Speaker,2024-02-19,2024-02-23
149,W5,Camera,2024-02-19,2024-02-24
150,W6,Router,2024-02-19,2024-02-21
151,W4,Headphones,2024-02-20,2024-02-24
152,W5,Printer,2024-02-20,2024-02-25
153,W6,Router,2024-02-20,2024-02-22
154,W4,Speaker,2024-02-21,2024-02-25
155,W5,Camera,2024-02-21,2024-02-26
156,W6,Router,2024-02-21,2024-02-23
157,W4,Headphones,2024-02-22,2024-02-26
158,W5,Printer,2024-02-22,2024-02-27
159,W6,Router,2024-02-22,2024-02-24
160,W4,Speaker,2024-02-23,2024-02-27
161,W5,Camera,2024-02-23,2024-02-28
162,W6,Router,2024-02-23,2024-02-25
163,W4,Headphones,2024-02-24,2024-02-28
164,W5,Printer,2024-02-24,2024-03-01
165,W6,Router,2024-02-24,2024-02-26
166,W4,Speaker,2024-02-25,2024-02-29
167,W5,Camera,2024-02-25,2024-03-02
168,W6,Router,2024-02-25,2024-02-27
169,W4,Headphones,2024-02-26,2024-03-01
170,W5,Printer,2024-02-26,2024-03-03
171,W6,Router,2024-02-26,2024-02-28
172,W4,Speaker,2024-02-27,2024-03-02
173,W5,Camera,2024-02-27,2024-03-04
174,W6,Router,2024-02-27,2024-02-29
175,W4,Headphones,2024-02-28,2024-03-03
176,W5,Printer,2024-02-28,2024-03-05
177,W6,Router,2024-02-28,2024-03-01
178,W4,Speaker,2024-02-29,2024-03-04
179,W5,Camera,2024-02-29,2024-03-06
