order_id,warehouse,product,order_date,ship_date
1,W2,Monitor,2024-01-20,2024-01-25
2,W4,Tablet,2024-02-04,2024-02-08
3,W4,Camera,2024-01-24,2024-01-26
4,W1,Laptop,2024-02-23,2024-02-28
5,W2,Laptop,2024-04-30,2024-05-05
6,W5,Monitor,2024-03-04,2024-03-07
7,W8,Smartwatch,2024-01-26,2024-02-01
8,W5,Speaker,2024-01-04,2024-01-11
9,W2,Keyboard,2024-04-22,2024-04-23
10,W1,SSD,2024-04-11,2024-04-18
11,W4,Keyboard,2024-01-08,2024-01-09
12,W7,Camera,2024-01-21,2024-01-26
13,W4,Monitor,2024-04-20,2024-04-26
14,W7,Camera,2024-04-28,2024-04-29
15,W2,SSD,2024-04-04,2024-04-05
16,W4,Printer,2024-04-09,2024-04-10
17,W4,GPU,2024-02-20,2024-02-24
18,W3,Headphones,2024-02-22,2024-02-25
19,W2,Microphone,2024-02-07,2024-02-14
20,W3,Camera,2024-04-29,2024-05-04
21,W8,Headphones,2024-03-02,2024-03-09
22,W5,Mouse,2024-04-01,2024-04-07
23,W8,Monitor,2024-02-23,2024-03-01
24,W2,SSD,2024-03-18,2024-03-20
25,W5,Phone,2024-03-19,2024-03-21
26,W7,Router,2024-04-18,2024-04-25
27,W3,SSD,2024-04-16,2024-04-21
28,W2,Mouse,2024-02-12,2024-02-15
29,W8,Speaker,2024-04-07,2024-04-09
30,W6,Tablet,2024-04-04,2024-04-06
31,W3,SSD,2024-04-02,2024-04-03
32,W3,Keyboard,2024-01-22,2024-01-24
33,W7,GPU,2024-02-25,2024-02-29
34,W3,Laptop,2024-02-25,2024-02-26
35,W2,Phone,2024-04-11,2024-04-17
36,W4,Phone,2024-01-01,2024-01-02
37,W8,Monitor,2024-03-19,2024-03-26
38,W7,Mouse,2024-01-31,2024-02-03
39,W5,Router,2024-03-09,2024-03-16
40,W5,Camera,2024-01-28,2024-01-31
41,W7,Smartwatch,2024-01-23,2024-01-28
42,W5,Headphones,2024-01-02,2024-01-08
43,W2,Microphone,2024-04-25,2024-04-30
44,W7,Monitor,2024-01-17,2024-01-19
45,W7,Mouse,2024-03-02,2024-03-07
46,W6,SSD,2024-04-11,2024-04-12
47,W2,Mouse,2024-04-02,2024-04-09
48,W2,Tablet,2024-02-01,2024-02-07
49,W8,GPU,2024-02-09,2024-02-15
50,W3,Router,2024-01-17,2024-01-20
51,W5,Keyboard,2024-01-22,2024-01-26
52,W2,Mouse,2024-01-02,2024-01-04
53,W1,Camera,2024-02-24,2024-02-27
54,W4,Camera,2024-02-18,2024-02-23
55,W2,Camera,2024-04-10,2024-04-17
56,W7,Phone,2024-04-07,2024-04-11
57,W4,Router,2024-04-15,2024-04-19
58,W6,GPU,2024-01-07,2024-01-10
59,W7,Laptop,2024-04-09,2024-04-14
60,W5,Mouse,2024-04-24,2024-05-01
61,W5,Tablet,2024-03-26,2024-03-27
62,W5,Camera,2024-02-24,2024-02-27
63,W8,Router,2024-01-23,2024-01-27
64,W6,Keyboard,2024-01-22,2024-01-23
65,W5,Keyboard,2024-02-24,2024-02-28
66,W2,Headphones,2024-02-20,2024-02-25
67,W1,Camera,2024-04-17,2024-04-19
68,W3,Monitor,2024-02-16,2024-02-22
69,W4,SSD,2024-03-04,2024-03-07
70,W5,Laptop,2024-01-03,2024-01-05
71,W4,Router,2024-04-30,2024-05-02
72,W8,Monitor,2024-04-25,2024-04-26
73,W1,Microphone,2024-02-14,2024-02-20
74,W4,Keyboard,2024-02-18,2024-02-22
75,W7,Printer,2024-03-31,2024-04-03
76,W6,Laptop,2024-01-18,2024-01-25
77,W4,Phone,2024-04-30,2024-05-03
78,W4,Keyboard,2024-03-31,2024-04-01
79,W8,Tablet,2024-04-02,2024-04-09
80,W6,Laptop,2024-03-31,2024-04-03
81,W8,Speaker,2024-01-01,2024-01-03
82,W3,Router,2024-01-19,2024-01-20
83,W5,Phone,2024-03-04,2024-03-09
84,W1,Keyboard,2024-03-14,2024-03-16
85,W2,Microphone,2024-01-20,2024-01-26
86,W5,Monitor,2024-04-09,2024-04-14
87,W5,Printer,2024-02-10,2024-02-13
88,W4,Router,2024-02-23,2024-02-24
89,W6,Microphone,2024-01-15,2024-01-20
90,W3,Speaker,2024-02-25,2024-03-02
91,W8,Speaker,2024-02-20,2024-02-26
92,W4,Monitor,2024-01-07,2024-01-12
93,W3,Phone,2024-02-08,2024-02-14
94,W7,Headphones,2024-01-30,2024-02-03
95,W2,Mouse,2024-03-08,2024-03-14
96,W7,Headphones,2024-02-16,2024-02-20
97,W4,Tablet,2024-01-29,2024-01-31
98,W8,Keyboard,2024-01-06,2024-01-13
99,W3,Keyboard,2024-01-20,2024-01-25
100,W1,Phone,2024-01-15,2024-01-17
101,W5,Mouse,2024-02-25,2024-02-27
102,W5,Laptop,2024-02-04,2024-02-06
103,W7,Printer,2024-04-23,2024-04-27
